name,infrastructure_type,latitude,longitude
Sunny Mount Zion Missionary Baptist Church,place_of_worship,41.9000318,-87.7670023
Threeway Missionary Baptist Church,place_of_worship,41.8641481,-87.7302838
Pure in Heart Missionary Baptist Church,place_of_worship,41.686701,-87.6306032
Revealing Missionary Baptist Church,place_of_worship,41.7544783,-87.6444939
Restoration of the Primitive Christian Church the Light of the World,place_of_worship,41.8433657,-87.7294994
True Faith Missionary Baptist Church,place_of_worship,41.8947519,-87.7480555
The Tree of Life Church of Christ,place_of_worship,41.8770241,-87.7054909
Shining Star Missionary Baptist Church,place_of_worship,41.7538703,-87.6632147
Spiritual Rock Missionary Baptist Church,place_of_worship,41.9022541,-87.7495017
Seven Star Missionary Baptist Church,place_of_worship,41.8955898,-87.721025
Second Mount Calvery Missionary Baptist Church,place_of_worship,41.7501987,-87.6655707
Theorem Missionary Baptist Church,place_of_worship,41.7504829,-87.6665471
Soul Saving Missionary Baptist Church,place_of_worship,41.8805875,-87.7592237
Shining Star Missionary Baptist Church,place_of_worship,41.8566992,-87.709499
Zion Missionary Baptist Church,place_of_worship,41.6758676,-87.6375476
Beacon Light Baptist Church,place_of_worship,41.7337189,-87.6328486
Asia Missionary Baptist Church,place_of_worship,41.8528102,-87.7250551
Burnside Community Baptist Church,place_of_worship,41.72809,-87.6103256
Blooming Rose Deliverance Church,place_of_worship,41.7714226,-87.6447722
Bethlehem Star Missionary Baptist Church,place_of_worship,41.7265588,-87.6043074
Alev Rose of Sharon Baptist Church,place_of_worship,41.7931372,-87.644927
Baptist Revival Center,place_of_worship,41.7753103,-87.7622764
Presbyterian Theological Seminary,school,41.9246055,-87.6513211
The King David Baptist Church,place_of_worship,41.8730878,-87.7300558
Kingdom of Christ Baptist Church,place_of_worship,41.7900334,-87.6647734
Kendrick Memorial Missionary Baptist Church,place_of_worship,41.7503116,-87.6517164
Little Mount of Hope Missionary Baptist Church,place_of_worship,41.7536696,-87.663218
Little Saint Matthews Baptist Church,place_of_worship,41.7764224,-87.6644952
Isaiah Mission Baptist Church,place_of_worship,41.8775161,-87.7448565
Holy Star Light Missionary Baptist Church,place_of_worship,41.8519769,-87.7125546
Mount Zion Missionary Baptist Church,place_of_worship,41.7425339,-87.6531052
Mont Clare Gospel Church,place_of_worship,41.9362527,-87.7898195
Prayer Band General Assembly,place_of_worship,41.7691924,-87.6161707
Mount Ebenezer Baptist Church,place_of_worship,41.8597546,-87.713666
Mary Magdalene Missionary Baptist Church,place_of_worship,41.6950343,-87.6258809
Liberty Union Baptist Church,place_of_worship,41.8375333,-87.633107
Mount Calvary Missionary Baptist Church,place_of_worship,41.8657532,-87.7310695
Mars Hill Missionary Baptist Church,place_of_worship,41.8736436,-87.6967213
Commonwealth Baptist Church,place_of_worship,41.8636434,-87.7303334
Community Faith Baptist Church,place_of_worship,41.7507184,-87.6518072
Christs Temple Church of God in Christ Baptist Church,place_of_worship,41.7555896,-87.6331048
Community Missionary Baptist Church,place_of_worship,41.8539444,-87.7087251
Douglas Park Baptist Church,place_of_worship,41.8558848,-87.7056208
Christ Tabernacle Missionary Baptist Church of Austin,place_of_worship,41.8965145,-87.7657545
Central Spanish Baptist Church,place_of_worship,41.9060585,-87.6964834
Christian Covenant Baptist Church,place_of_worship,41.6858676,-87.6272696
Christian Greater Rock Baptist Church,place_of_worship,41.8765562,-87.6943323
Christ Temple Missionary Baptist Church,place_of_worship,41.7211453,-87.6253259
Christian Love Baptist Church,place_of_worship,41.7808672,-87.6225495
First Community Baptist Church,place_of_worship,41.7687633,-87.6580464
First Corinthians Missionary Baptist Church,place_of_worship,41.8691989,-87.7306113
First Timothy Missionary Baptist Church,place_of_worship,41.7931344,-87.6303208
Emmanuel Baptist Church,place_of_worship,41.7426719,-87.6726029
Fairfield Avenue Baptist Church,place_of_worship,41.9158655,-87.6956113
Fairfield Baptist Church,place_of_worship,41.8639214,-87.7089437
Evening Star Baptist Church,place_of_worship,41.7694785,-87.6158822
Faith Tabernacle Baptist Church,place_of_worship,41.7769779,-87.6650509
Greater First Baptist Missionary Baptist Church,place_of_worship,41.8942685,-87.7663246
Grace Fellowship Baptist Church,place_of_worship,41.7694785,-87.6147711
Greater Christian Light Baptist Church,place_of_worship,41.8608656,-87.7350557
Greater Thyatiya Missionary Baptist Church,place_of_worship,41.8708657,-87.7042215
Greater New Mount Zion Missionary Baptist Church,place_of_worship,41.7930891,-87.6544953
Greater Progressive Missionary Baptist Church,place_of_worship,41.8583657,-87.717555
Greater Mount Tabor Baptist Church,place_of_worship,41.7664743,-87.6301463
Greater New Jerusalem Missionary Baptist Church,place_of_worship,41.6917048,-87.6207907
Greater Mount Zion Baptist Church,place_of_worship,41.8736436,-87.6997769
Black Methodist for Church Renewal,place_of_worship,41.7515588,-87.593768
Celestial Church of Christ,place_of_worship,41.7658874,-87.6126077
Christ the King Lutheran School,school,41.828586,-87.605993
Bethel Temple,place_of_worship,41.7697608,-87.6246588
Corpus Christi School,school,41.8051974,-87.617299
Prince of Peace Apostolic Church,place_of_worship,41.7697564,-87.6061597
Divine Church of Prayer,place_of_worship,41.765299,-87.6230092
Holy Covenant Non-Denominational Church,place_of_worship,41.7583676,-87.6011592
Holy Stranger Home Church,place_of_worship,41.7584115,-87.6043207
Lamb of God Church,place_of_worship,41.769072,-87.6212944
Israel Methodist Community Church,place_of_worship,41.7562623,-87.6055458
Moorish Science Temple of America,place_of_worship,41.7583676,-87.6008814
Mount Olive Church of God in Christ,place_of_worship,41.7694785,-87.6178268
Rising Sun Spiritual Church,place_of_worship,41.7655898,-87.610882
Alexanders Beauty School,school,41.8630879,-87.7253332
Academy of Acupuncture,school,41.9353101,-87.6631107
All Nations Pentecostal Church,place_of_worship,41.7578118,-87.6308825
All Nations Church of God,place_of_worship,41.8514214,-87.7153325
All Nation Pentecostal House of Prayer,place_of_worship,41.8955878,-87.7181116
Austin Career Education Center,school,41.8950319,-87.7600575
Bunnyland Developmental Day Care Center,school,41.6777349,-87.6364854
Carol Divine Temple Church of God in Christ,place_of_worship,41.8600324,-87.7167217
Carey Tercentenary African Methodist Episcopal Church,place_of_worship,41.8611436,-87.7106104
Cannon Temple Missionary Baptist Church,place_of_worship,41.7864222,-87.6722736
Chicago Institute of Technology,school,41.8830883,-87.6625537
Chicago Dance Center,school,41.9260706,-87.6498618
Chicago Academy,school,41.7667007,-87.6222713
Chicago Assembly Hall of Jehovah's Witnesses,place_of_worship,41.750757,-87.6629475
Cathedral Temple of Divine Love,place_of_worship,41.760034,-87.6331049
Charles Harrison Mason Bible College,school,41.7850574,-87.6660251
Chatham Montessori School,school,41.7434814,-87.6237158
Cosmetologist Educational Institute,school,41.7374588,-87.5609144
Apostolic Faith Temple,place_of_worship,41.7802157,-87.6639026
Apostolic Little Rock Church,place_of_worship,41.7478155,-87.6637191
Crickets Child Day Care Center,school,41.7368651,-87.576425
Community Lutheran School,school,41.8925903,-87.7623338
Community Lutheran Church,place_of_worship,41.8927301,-87.7624625
Antioch Apostolic Faith Church,place_of_worship,41.8511402,-87.7307062
Apostolic Assembly of the Lord Jesus Christ,place_of_worship,41.7047565,-87.6197698
Bais Yaakov School,school,41.9861428,-87.6917242
All Souls Church of God in Christ,place_of_worship,41.8588462,-87.7169196
Assumption School,school,41.8474328,-87.6967045
Assumption School,school,41.6714383,-87.6359968
Assumption Roman Catholic Church,place_of_worship,41.8472549,-87.6958872
Austin Special Sheltered Work Center,school,41.9315923,-87.7619634
Austin Special School and Sheltered Work Center,school,41.8891986,-87.7600573
Austin Church of the Nazarene,place_of_worship,41.8894763,-87.7558905
Austin Messiah Lutheran Church,place_of_worship,41.8968059,-87.7683187
Austin School of Beauty Culture,school,41.8803739,-87.7714281
Epiphany United Church of Christ,place_of_worship,41.9498418,-87.67885
Evangelical Church of God in Christ,place_of_worship,41.7505489,-87.6616064
Emmaus Lutheran Church,place_of_worship,41.875911,-87.7610469
Esperanza Elementary School,school,41.8914055,-87.6687832
CAM Academy,school,41.8730876,-87.7597791
Blessed Trinity Temple of Divine Science,place_of_worship,41.7383239,-87.5849463
Bible Deliverance Temple,place_of_worship,41.7462767,-87.5819541
Benson Art Beat,school,41.9400311,-87.8072826
Chicago School of Massage Therapy,school,41.9347844,-87.6622557
ICCI Academy,school,41.937915,-87.7879555
Camelot School,school,41.983363,-87.7135194
Camelot School,school,42.0167549,-87.6646181
Boosters for Christ Revival Center,place_of_worship,41.76435,-87.6640816
Broadway United Methodist Church,place_of_worship,41.9430912,-87.6450569
Bridgeport Academy West,school,41.8353786,-87.6528298
Bricklayers Apprentice School,school,41.8853103,-87.6819988
Debbies School of Beauty Culture,school,41.69309,-87.6211585
Debbies School of Beauty Culture,school,41.88031,-87.7295004
Discovery Center,school,41.9350323,-87.6625551
Douglas - Tubman Christian Center,place_of_worship,41.7947559,-87.6269944
New Life Community Church in Bridgeport,place_of_worship,41.8388551,-87.6387627
Divine Saint Paul Missionary Baptist Church,place_of_worship,41.8866143,-87.7212979
Ecumenical Institute,school,41.9686431,-87.6553335
Ebenezer House of Prayer,place_of_worship,41.8005893,-87.6214389
Walter H. Dyett High School,school,41.801143,-87.6122775
Emanuel Church of God in Christ,place_of_worship,41.8761435,-87.7033882
Emmanuel Community Church,place_of_worship,41.764492,-87.6130869
Eightyseventh Street Church of Christ,place_of_worship,41.7354539,-87.6717357
Chicago Graphic Arts Institute,school,41.878366,-87.6669981
Christ Lutheran Church,place_of_worship,41.936976,-87.7672811
Christ Temple Apostolic Church,place_of_worship,41.7819778,-87.6647732
Christ Haven Center,place_of_worship,41.7761429,-87.664287
Christ Temple Pentecostal Church,place_of_worship,41.7262442,-87.6048169
Chicago Urban Skills Institute,school,41.9648785,-87.6574185
Chicago Uptown Ministry,place_of_worship,41.9679641,-87.6552425
Chinese Christian Union Church,place_of_worship,41.8506382,-87.6316998
Children Giving Light To A Dark World Spirtual Church,place_of_worship,41.676478,-87.6228675
Beautiful Saviour Evangelical Lutheran Church,place_of_worship,41.8002861,-87.7339428
Beacon Holy Nazarene Church,place_of_worship,41.6947566,-87.6131027
Everlasting Gospel Mission,place_of_worship,41.7433817,-87.6537968
Evangelist Temple,place_of_worship,41.7380895,-87.6536606
Evangelist Jerry Smith Crusade Memorial Church of God in Christ,place_of_worship,41.6982487,-87.6206404
Bethel Lutheran School,school,41.88281,-87.7308894
Bethel House of Prayer,place_of_worship,41.6947565,-87.6233808
Bethel Apostolic Faith Church,place_of_worship,41.6818419,-87.6224165
Beulah Mission Full Gospel Church,place_of_worship,41.7547559,-87.6639391
Bethel Apostolic Church,place_of_worship,41.8763393,-87.7610545
Beulah Land Church of God in Christ,place_of_worship,41.7617003,-87.6633837
Saint Agnes of Bohemia Roman Chatholic Church,place_of_worship,41.8427347,-87.7144492
Blackhawk School of Art,school,41.9272547,-87.6411652
Bible-Way Pentecostal Church,place_of_worship,41.9172542,-87.7286681
Bethlehem Unity Missionary Baptist Church,place_of_worship,41.8798218,-87.7671256
Beverly Temple Church of God and Christ,place_of_worship,41.858088,-87.7244996
Bethel Tabernacle,place_of_worship,41.7855891,-87.6567175
Bethel Temple Assembly of God Church,place_of_worship,41.9093862,-87.7822085
Bethesda Temple Spanish Assemblies of God Church,place_of_worship,41.8517916,-87.6678898
Ambassadors for Christ Church of God in Christ,place_of_worship,41.7068693,-87.6368349
Gods All Nations Pentecostal Church,place_of_worship,41.8814209,-87.7547791
Gloria Dei Evangelical Lutheran Church,place_of_worship,41.7965436,-87.7644396
Gospel Mission Pentecostal Church,place_of_worship,41.8578102,-87.7244996
Goodway Church of God in Christ,place_of_worship,41.8941984,-87.7747802
Giannini Music Center,school,41.9455877,-87.673389
Masters Martial Arts Alliance,school,41.9411433,-87.6683887
Mary F Butler Memorial African Methodist Episcopal Church,place_of_worship,41.8766992,-87.6964436
Mays School,school,41.7942,-87.6697737
Martin Luther Educational Center,school,41.6886455,-87.6161582
Marquette Park Presbyterian Church,place_of_worship,41.7756684,-87.6935267
Magic Mirror Learning Center,school,41.7764135,-87.7033406
Maternity of the Blessed Virgin Mary School,school,41.9092689,-87.7188036
Montessori Midwest Teacher Training Center,school,41.8965415,-87.6531203
Montessori School - Near North,school,41.8964425,-87.6531024
Midwest Center for the Study of Oriental Medicine,school,41.9508655,-87.6600554
Mid-America Beauty School,school,41.9387951,-87.7645372
Missionary Crusade Church,place_of_worship,41.852089,-87.6916536
Missionary Church of God in Christ,place_of_worship,41.7686449,-87.6425499
Immaculate Conception School,school,41.8375331,-87.6528299
Illinois Masonic Medical Center School of Nursing,school,41.936699,-87.6514436
