hex_id,hex_q,hex_r,count,centroid_lat,centroid_lon,gi_z,gi_p,hotspot_tier,zone_id
-14710_6859,-14710,6859,50,41.88821986019843,-87.75821285000578,6.591102234555949,4.365729999733503e-11,Hotspot 99%,2
-14681_6838,-14681,6838,49,41.78280495333726,-87.61428953652451,3.4738108066120867,0.0005131227008996486,Hotspot 99%,1
-14707_6862,-14707,6862,49,41.90326495794641,-87.72320447645627,4.872221914474754,1.103501179100519e-06,Hotspot 99%,2
-14708_6858,-14708,6858,49,41.88320404003357,-87.74654339215594,6.736770058291643,1.6194601215602233e-11,Hotspot 99%,2
-14704_6860,-14704,6860,49,41.893235286577195,-87.70764519932315,3.12420802964642,0.0017828436039215578,Hotspot 99%,2
-14690_6837,-14690,6837,49,41.77778086542214,-87.68819610290679,2.9785402059107255,0.0028962502897851294,Hotspot 99%,1
-14708_6862,-14708,6862,48,41.90326495794641,-87.73098411502284,3.64861219509492,0.0002636607545640768,Hotspot 99%,2
-14709_6858,-14709,6858,48,41.88320404003357,-87.75432303072246,8.047780471912894,8.881784197001252e-16,Hotspot 99%,2
-14702_6857,-14702,6857,48,41.87818782609015,-87.7037553800399,4.843088349727616,1.2783641125668765e-06,Hotspot 99%,2
-14703_6854,-14703,6854,47,41.863136821663865,-87.72320447645627,5.950163810118894,2.678742561101899e-09,Hotspot 99%,2
-14684_6835,-14684,6835,47,41.767731508746834,-87.64929791007401,4.610019831750504,4.026305607807146e-06,Hotspot 99%,1
-14683_6840,-14683,6840,47,41.79285194828349,-87.62206917509108,2.59980386419792,0.009327705619334159,Hotspot 99%,1
-14678_6833,-14678,6833,47,41.757680577663535,-87.61039971724124,3.7651464540834763,0.00016645149099026035,Hotspot 99%,1
-14707_6856,-14707,6856,46,41.87317121837568,-87.74654339215594,4.406084878520532,1.0525573272746058e-05,Hotspot 99%,2
-14703_6858,-14703,6858,46,41.88320404003357,-87.70764519932315,3.153341594393559,0.0016141280440884476,Hotspot 99%,2
-14710_6858,-14710,6858,46,41.88320404003357,-87.76210266928904,6.066698069107449,1.305666907924774e-09,Hotspot 99%,2
-14703_6855,-14703,6855,45,41.86815421689773,-87.71931465717297,6.940705011521616,3.901545753137725e-12,Hotspot 99%,2
-14707_6858,-14707,6858,44,41.88320404003357,-87.73876375358938,5.571427468406088,2.5266055025952028e-08,Hotspot 99%,2
-14700_6851,-14700,6851,44,41.84808227350258,-87.71153501860644,2.7163381231864756,0.0066008466003801836,Hotspot 99%,2
-14688_6837,-14688,6837,43,41.77778086542214,-87.67263682577367,2.7163381231864756,0.0066008466003801836,Hotspot 99%,1
-14712_6860,-14712,6860,43,41.893235286577195,-87.76988230785561,3.0036327502646647,0.0026677713604965625,Hotspot 99%,2
-14670_6832,-14670,6832,43,41.75265452173847,-87.55205242799208,3.5383712561695395,0.00040260355810173287,Hotspot 99%,1
-14675_6835,-14675,6835,42,41.767731508746834,-87.57928116297502,4.610019831750504,4.026305607807146e-06,Hotspot 99%,1
-14711_6860,-14711,6860,42,41.893235286577195,-87.76210266928904,5.1926911266932825,2.072759048843409e-07,Hotspot 99%,2
-14707_6861,-14707,6861,42,41.89825031916235,-87.72709429573955,5.979297374866032,2.2410211464318763e-09,Hotspot 99%,2
-14687_6840,-14687,6840,42,41.79285194828349,-87.6531877293573,4.580886267003366,4.630096014812679e-06,Hotspot 99%,1
-14672_6832,-14672,6832,41,41.75265452173847,-87.5676117051252,3.211608723887837,0.001319940142170406,Hotspot 99%,1
-14709_6860,-14709,6860,41,41.893235286577195,-87.74654339215594,3.736012889336337,0.0001869610890614659,Hotspot 99%,2
-14703_6853,-14703,6853,41,41.85811903268165,-87.72709429573955,4.551752702256226,5.320084727866714e-06,Hotspot 99%,2
-14680_6835,-14680,6835,41,41.767731508746834,-87.6181793558078,3.357276547623531,0.0007871433939172778,Hotspot 99%,1
-14703_6852,-14703,6852,40,41.85310084995869,-87.73098411502284,2.6890806879676794,0.007164909829723509,Hotspot 99%,2
-14674_6832,-14674,6832,40,41.75265452173847,-87.58317098225831,1.2596598858295307,0.20779208211089473,Not Significant,0
-14690_6843,-14690,6843,40,41.807919488376285,-87.66485718720713,3.211608723887837,0.001319940142170406,Hotspot 99%,1
-14704_6857,-14704,6857,39,41.87818782609015,-87.71931465717297,7.8438455186829215,4.440892098500626e-15,Hotspot 99%,2
-14671_6832,-14671,6832,39,41.75265452173847,-87.55983206655863,5.017889738210449,5.224214438825925e-07,Hotspot 99%,1
-14681_6829,-14681,6829,39,41.7375739925239,-87.64929791007401,1.3179270153238085,0.18752808114543962,Not Significant,0
-14704_6855,-14704,6855,39,41.86815421689773,-87.72709429573955,5.425759644670393,5.7708573031334254e-08,Hotspot 99%,2
-14683_6834,-14683,6834,39,41.762706240002274,-87.64540809079072,4.056482101554865,4.981737817377763e-05,Hotspot 99%,1
-14701_6849,-14701,6849,39,41.83804393942133,-87.72709429573955,1.6092626627951976,0.10755891960285369,Not Significant,0
-14684_6832,-14684,6832,38,41.75265452173847,-87.66096736792385,3.3864101123706702,0.0007081347065900356,Hotspot 99%,1
-14701_6856,-14701,6856,38,41.87317121837568,-87.69986556075662,4.027348536807726,5.640938254680705e-05,Hotspot 99%,2
-14706_6856,-14706,6856,38,41.87317121837568,-87.73876375358938,5.51316033891181,3.524468694671157e-08,Hotspot 99%,2
-14700_6857,-14700,6857,38,41.87818782609015,-87.68819610290679,2.1919339577379753,0.028384275667432846,Hotspot 95%,2
-14684_6836,-14684,6836,37,41.7727563838894,-87.64540809079072,3.357276547623531,0.0007871433939172778,Hotspot 99%,1
-14687_6837,-14687,6837,37,41.77778086542214,-87.66485718720713,3.5320779361063646,0.0004123078203042141,Hotspot 99%,1
-14674_6822,-14674,6822,37,41.702372316973985,-87.62206917509108,2.658070993692198,0.007858933604620422,Hotspot 99%,3
-14706_6858,-14706,6858,37,41.88320404003357,-87.73098411502284,6.998972141015893,2.5783819523894635e-12,Hotspot 99%,2
-14711_6858,-14711,6858,37,41.88320404003357,-87.76988230785561,1.9879990045080032,0.04681180007130914,Hotspot 95%,2
-14710_6860,-14710,6860,36,41.893235286577195,-87.75432303072246,6.591102234555949,4.365729999733503e-11,Hotspot 99%,2
-14670_6831,-14670,6831,36,41.74762807223493,-87.55594224727537,3.881680713072032,0.00010373702124732986,Hotspot 99%,1
-14685_6835,-14685,6835,35,41.767731508746834,-87.65707754864057,4.2604170547848375,2.0404579736066353e-05,Hotspot 99%,1
-14690_6841,-14690,6841,35,41.797874855299035,-87.67263682577367,2.2793346519793922,0.022647179659212924,Hotspot 95%,1
-14667_6813,-14667,6813,35,41.6570846882825,-87.6026200786747,0.9555007657698789,0.33932451828531685,Not Significant,0
-14675_6822,-14675,6822,35,41.702372316973985,-87.62984881365766,2.6289374289450587,0.00856521190857018,Hotspot 99%,3
-14684_6834,-14684,6834,35,41.762706240002274,-87.6531877293573,4.347817749026254,1.3749878454483166e-05,Hotspot 99%,1
-14701_6857,-14701,6857,35,41.87818782609015,-87.69597574147332,3.881680713072032,0.00010373702124732986,Hotspot 99%,2
-14686_6838,-14686,6838,35,41.78280495333726,-87.6531877293573,3.706879324589198,0.00020982886263198886,Hotspot 99%,1
-14703_6857,-14703,6857,35,41.87818782609015,-87.71153501860644,5.221824691440421,1.7716865352568334e-07,Hotspot 99%,2
-14672_6817,-14672,6817,35,41.67721645787437,-87.62595899437436,2.4250024757150865,0.015308282360172454,Hotspot 95%,3
-14686_6835,-14686,6835,35,41.767731508746834,-87.66485718720713,3.64861219509492,0.0002636607545640768,Hotspot 99%,1
-14676_6832,-14676,6832,35,41.75265452173847,-87.59873025939142,5.309225385681837,1.1009212408374935e-07,Hotspot 99%,1
-14673_6820,-14673,6820,34,41.69231115377578,-87.62206917509108,3.153341594393559,0.0016141280440884476,Hotspot 99%,3
-14675_6834,-14675,6834,34,41.762706240002274,-87.58317098225831,3.12420802964642,0.0017828436039215578,Hotspot 99%,1
-14702_6850,-14702,6850,34,41.84306330332091,-87.73098411502284,1.9879990045080032,0.04681180007130914,Hotspot 95%,2
-14687_6838,-14687,6838,34,41.78280495333726,-87.66096736792385,3.5612115008535037,0.00036914757107564533,Hotspot 99%,1
-14683_6832,-14683,6832,34,41.75265452173847,-87.6531877293573,2.59980386419792,0.009327705619334159,Hotspot 99%,1
-14689_6836,-14689,6836,34,41.7727563838894,-87.68430628362349,2.8328723821750312,0.00461317992329402,Hotspot 99%,1
-14712_6862,-14712,6862,34,41.90326495794641,-87.76210266928904,3.706879324589198,0.00020982886263198886,Hotspot 99%,2
-14681_6833,-14681,6833,34,41.757680577663535,-87.6337386329409,2.308468216726531,0.02097310862748314,Hotspot 95%,1
-14712_6863,-14712,6863,33,41.908279202921875,-87.75821285000578,2.658070993692198,0.007858933604620422,Hotspot 99%,2
-14688_6839,-14688,6839,33,41.78782864762697,-87.66485718720713,4.202149925290559,2.6439192675864476e-05,Hotspot 99%,1
-14711_6862,-14711,6862,33,41.90326495794641,-87.75432303072246,3.9108142778191706,9.198548445210619e-05,Hotspot 99%,2
-14702_6853,-14702,6853,33,41.85811903268165,-87.71931465717297,6.241499457590282,4.3339598576608296e-10,Hotspot 99%,2
-14681_6835,-14681,6835,33,41.767731508746834,-87.62595899437436,3.153341594393559,0.0016141280440884476,Hotspot 99%,1
-14681_6836,-14681,6836,33,41.7727563838894,-87.62206917509108,2.949406641163587,0.0031838475016090495,Hotspot 99%,1
-14681_6837,-14681,6837,33,41.77778086542214,-87.6181793558078,3.706879324589198,0.00020982886263198886,Hotspot 99%,1
-14674_6821,-14674,6821,32,41.6973419321205,-87.62595899437436,3.415543677117809,0.0006365482006895906,Hotspot 99%,3
-14685_6839,-14685,6839,32,41.78782864762697,-87.64151827150748,2.891139511669309,0.0038384768009800396,Hotspot 99%,1
-14679_6837,-14679,6837,32,41.77778086542214,-87.6026200786747,2.1628003929908366,0.030556535374006266,Hotspot 95%,1
-14701_6850,-14701,6850,32,41.84306330332091,-87.72320447645627,2.046266134002281,0.04073019374810083,Hotspot 95%,2
-14675_6836,-14675,6836,32,41.7727563838894,-87.57539134369176,3.192363987642856,0.0014111338566504816,Hotspot 99%,1
-14704_6874,-14704,6874,32,41.96340990415634,-87.6531877293573,-0.05135052779171955,0.9590462058273219,Not Significant,0
-14691_6843,-14691,6843,32,41.807919488376285,-87.67263682577367,3.0665431627240616,0.002165495408453344,Hotspot 99%,1
-14676_6834,-14676,6834,32,41.762706240002274,-87.59095062082486,2.7454716879336143,0.006042398088700551,Hotspot 99%,1
-14685_6834,-14685,6834,32,41.762706240002274,-87.66096736792385,3.095074464899281,0.0019676349074371213,Hotspot 99%,1
-14703_6862,-14703,6862,32,41.90326495794641,-87.69208592219006,0.1525844254382527,0.878726007866496,Not Significant,0
-14705_6856,-14705,6856,32,41.87317121837568,-87.73098411502284,7.989513342418616,1.3322676295501878e-15,Hotspot 99%,2
-14670_6830,-14670,6830,32,41.74260122916078,-87.55983206655863,2.570670299450781,0.010150190794128822,Hotspot 95%,1
-14684_6842,-14684,6842,32,41.80289736866589,-87.62206917509108,1.492728403806642,0.13550829514440865,Not Significant,0
-14696_6861,-14696,6861,31,41.89825031916235,-87.64151827150748,0.18171799018539161,0.8558040469086086,Not Significant,0
-14686_6840,-14686,6840,31,41.79285194828349,-87.64540809079072,3.5903450656006424,0.00033024048225693825,Hotspot 99%,1
-14685_6837,-14685,6837,31,41.77778086542214,-87.64929791007401,2.4250024757150865,0.015308282360172454,Hotspot 95%,1
-14672_6819,-14672,6819,31,41.68727998194784,-87.6181793558078,2.2210675224851144,0.02634638837220571,Hotspot 95%,3
-14680_6837,-14680,6837,31,41.77778086542214,-87.61039971724124,4.4352184432676705,9.197897409274347e-06,Hotspot 99%,1
-14702_6852,-14702,6852,31,41.85310084995869,-87.72320447645627,3.095074464899281,0.0019676349074371213,Hotspot 99%,2
-14673_6834,-14673,6834,30,41.762706240002274,-87.5676117051252,3.7651464540834763,0.00016645149099026035,Hotspot 99%,1
-14674_6827,-14674,6827,30,41.72751833859355,-87.6026200786747,0.8517899793695862,0.39433066904014913,Not Significant,0
-14712_6885,-14712,6885,30,42.01849294381506,-87.67263682577367,0.006916601702558241,0.9944813942894528,Not Significant,0
-14671_6833,-14671,6833,30,41.757680577663535,-87.55594224727537,4.296532100021765,1.734908553774339e-05,Hotspot 99%,1
-14711_6859,-14711,6859,30,41.88821986019843,-87.76599248857232,5.017889738210449,5.224214438825925e-07,Hotspot 99%,2
-14711_6861,-14711,6861,30,41.89825031916235,-87.75821285000578,5.1052904324518655,3.302868427645933e-07,Hotspot 99%,2
-14683_6839,-14683,6839,29,41.78782864762697,-87.62595899437436,2.8328723821750312,0.00461317992329402,Hotspot 99%,1
-14680_6838,-14680,6838,29,41.78280495333726,-87.60650989795798,2.783446306656775,0.0053784763990294415,Hotspot 99%,1
-14676_6836,-14676,6836,29,41.7727563838894,-87.58317098225831,2.6890806879676794,0.007164909829723509,Hotspot 99%,1
-14689_6839,-14689,6839,29,41.78782864762697,-87.67263682577367,2.1628003929908366,0.030556535374006266,Hotspot 95%,1
-14692_6838,-14692,6838,29,41.78280495333726,-87.69986556075662,2.0753996987494197,0.03794950609698167,Hotspot 95%,1
-14674_6818,-14674,6818,29,41.68224841664468,-87.63762845222419,1.754930486530892,0.0792711987089918,Hotspot 90%,0
-14682_6838,-14682,6838,29,41.78280495333726,-87.62206917509108,2.6872045584393365,0.0072052811787668425,Hotspot 99%,1
-14671_6817,-14671,6817,29,41.67721645787437,-87.6181793558078,1.61960367615793,0.10531743941911698,Not Significant,0
-14692_6839,-14692,6839,29,41.78782864762697,-87.69597574147332,1.5801290980480587,0.11407730479819977,Not Significant,0
-14687_6842,-14687,6842,29,41.80289736866589,-87.64540809079072,0.5501266643481805,0.5822324990833159,Not Significant,0
-14681_6834,-14681,6834,29,41.762706240002274,-87.62984881365766,2.949406641163587,0.0031838475016090495,Hotspot 99%,1
-14679_6836,-14679,6836,29,41.7727563838894,-87.60650989795798,2.1336668282436975,0.03287006328604836,Hotspot 95%,1
-14669_6829,-14669,6829,28,41.7375739925239,-87.55594224727537,2.0753996987494197,0.03794950609698167,Hotspot 95%,1
-14705_6861,-14705,6861,28,41.89825031916235,-87.71153501860644,5.047023302957587,4.4874663585048324e-07,Hotspot 99%,2
-14682_6833,-14682,6833,28,41.757680577663535,-87.64151827150748,3.12420802964642,0.0017828436039215578,Hotspot 99%,1
-14689_6835,-14689,6835,28,41.767731508746834,-87.68819610290679,1.6675297922894754,0.09540910548807058,Hotspot 90%,0
-14678_6832,-14678,6832,28,41.75265452173847,-87.61428953652451,3.64861219509492,0.0002636607545640768,Hotspot 99%,1
-14696_6846,-14696,6846,28,41.822983485491555,-87.69986556075662,-0.10961765728599734,0.9127126065594615,Not Significant,0
-14675_6823,-14675,6823,28,41.70740230832825,-87.62595899437436,2.308468216726531,0.02097310862748314,Hotspot 95%,3
-14700_6852,-14700,6852,28,41.85310084995869,-87.70764519932315,4.231283490037699,2.3236159194972572e-05,Hotspot 99%,2
-14687_6835,-14687,6835,28,41.767731508746834,-87.67263682577367,2.658070993692198,0.007858933604620422,Hotspot 99%,1
-14680_6836,-14680,6836,28,41.7727563838894,-87.61428953652451,4.027348536807726,5.640938254680705e-05,Hotspot 99%,1
-14713_6863,-14713,6863,28,41.908279202921875,-87.76599248857232,2.570670299450781,0.010150190794128822,Hotspot 95%,2
-14690_6840,-14690,6840,28,41.79285194828349,-87.67652664505695,2.250201087232253,0.024436183319969995,Hotspot 95%,1
-14691_6837,-14691,6837,27,41.77778086542214,-87.69597574147332,2.59980386419792,0.009327705619334159,Hotspot 99%,1
-14680_6831,-14680,6831,27,41.74762807223493,-87.6337386329409,0.7061221556338917,0.4801121746745951,Not Significant,0
-14675_6833,-14675,6833,27,41.757680577663535,-87.5870608015416,2.658070993692198,0.007858933604620422,Hotspot 99%,1
-14701_6852,-14701,6852,27,41.85310084995869,-87.71542483788971,4.4352184432676705,9.197897409274347e-06,Hotspot 99%,2
-14700_6856,-14700,6856,27,41.87317121837568,-87.69208592219006,3.1824751591406977,0.0014602204114659845,Hotspot 99%,2
-14683_6843,-14683,6843,27,41.807919488376285,-87.61039971724124,1.5509955333009198,0.12090275439147091,Not Significant,0
-14690_6842,-14690,6842,27,41.80289736866589,-87.66874700649038,2.7454716879336143,0.006042398088700551,Hotspot 99%,1
-14684_6840,-14684,6840,27,41.79285194828349,-87.62984881365766,2.2793346519793922,0.022647179659212924,Hotspot 95%,1
-14677_6826,-14677,6826,27,41.72248992131589,-87.62984881365766,-0.3135526105159696,0.753860856839736,Not Significant,0
-14695_6853,-14695,6853,27,41.85811903268165,-87.66485718720713,1.9005983102665864,0.057354647017299865,Hotspot 90%,0
-14684_6843,-14684,6843,26,41.807919488376285,-87.6181793558078,1.9005983102665864,0.057354647017299865,Hotspot 90%,0
-14669_6831,-14669,6831,26,41.74762807223493,-87.5481626087088,2.5632598630488856,0.010369440476434066,Hotspot 95%,1
-14686_6834,-14686,6834,26,41.762706240002274,-87.66874700649038,2.2210675224851144,0.02634638837220571,Hotspot 95%,1
-14675_6828,-14675,6828,26,41.73254636233219,-87.60650989795798,0.8226564146224473,0.41070340757505464,Not Significant,0
-14687_6836,-14687,6836,26,41.7727563838894,-87.66874700649038,3.881680713072032,0.00010373702124732986,Hotspot 99%,1
-14704_6854,-14704,6854,26,41.863136821663865,-87.73098411502284,3.2698758533821146,0.0010759469386325549,Hotspot 99%,2
-14673_6819,-14673,6819,26,41.68727998194784,-87.62595899437436,2.7454716879336143,0.006042398088700551,Hotspot 99%,3
-14712_6861,-14712,6861,26,41.89825031916235,-87.76599248857232,3.9982149720605875,6.382197456855643e-05,Hotspot 99%,2
-14698_6851,-14698,6851,25,41.84808227350258,-87.69597574147332,0.9683242383581417,0.3328824632629903,Not Significant,0
-14691_6839,-14691,6839,25,41.78782864762697,-87.68819610290679,1.492728403806642,0.13550829514440865,Not Significant,0
-14689_6840,-14689,6840,25,41.79285194828349,-87.66874700649038,4.114749231049143,3.876005628122847e-05,Hotspot 99%,1
-14683_6835,-14683,6835,25,41.767731508746834,-87.64151827150748,3.9690814073134484,7.215023161921685e-05,Hotspot 99%,1
-14677_6833,-14677,6833,25,41.757680577663535,-87.6026200786747,4.202149925290559,2.6439192675864476e-05,Hotspot 99%,1
-14688_6834,-14688,6834,25,41.762706240002274,-87.68430628362349,1.0848584973466975,0.2779843320687707,Not Significant,0
-14683_6833,-14683,6833,25,41.757680577663535,-87.64929791007401,3.502944371359226,0.0004601455503350227,Hotspot 99%,1
-14687_6839,-14687,6839,24,41.78782864762697,-87.65707754864057,5.746228856888921,9.12557762688948e-09,Hotspot 99%,1
-14701_6855,-14701,6855,24,41.86815421689773,-87.7037553800399,2.9785402059107255,0.0028962502897851294,Hotspot 99%,2
-14682_6835,-14682,6835,24,41.767731508746834,-87.6337386329409,2.4541360404622257,0.014122354350714739,Hotspot 95%,1
-14683_6831,-14683,6831,24,41.74762807223493,-87.65707754864057,3.1824751591406977,0.0014602204114659845,Hotspot 99%,1
-14669_6830,-14669,6830,24,41.74260122916078,-87.55205242799208,2.9202730764164477,0.003497247894575839,Hotspot 99%,1
-14692_6837,-14692,6837,24,41.77778086542214,-87.7037553800399,0.910057108863864,0.3627923927171963,Not Significant,0
-14697_6862,-14697,6862,24,41.90326495794641,-87.64540809079072,0.7074026954966731,0.47931626230936075,Not Significant,0
-14674_6834,-14674,6834,24,41.762706240002274,-87.57539134369176,3.9690814073134484,7.215023161921685e-05,Hotspot 99%,1
-14689_6851,-14689,6851,24,41.84808227350258,-87.62595899437436,0.2399851196796694,0.8103417923438037,Not Significant,0
-14685_6832,-14685,6832,24,41.75265452173847,-87.66874700649038,1.9879990045080032,0.04681180007130914,Hotspot 95%,1
-14683_6836,-14683,6836,24,41.7727563838894,-87.63762845222419,2.046266134002281,0.04073019374810083,Hotspot 95%,1
-14699_6851,-14699,6851,24,41.84808227350258,-87.7037553800399,2.6872045584393365,0.0072052811787668425,Hotspot 99%,2
-14690_6838,-14690,6838,24,41.78280495333726,-87.68430628362349,1.9879990045080032,0.04681180007130914,Hotspot 95%,1
-14672_6818,-14672,6818,24,41.68224841664468,-87.62206917509108,2.891139511669309,0.0038384768009800396,Hotspot 99%,3
-14689_6843,-14689,6843,24,41.807919488376285,-87.65707754864057,0.647855026139614,0.5170787214144319,Not Significant,0
-14676_6830,-14676,6830,23,41.74260122916078,-87.60650989795798,3.3281429828763924,0.0008742698280401751,Hotspot 99%,1
-14677_6836,-14677,6836,23,41.7727563838894,-87.59095062082486,1.2013927563352529,0.2295988846613568,Not Significant,0
-14699_6850,-14699,6850,23,41.84306330332091,-87.70764519932315,2.017132569255142,0.04368168060986499,Hotspot 95%,2
-14700_6855,-14700,6855,23,41.86815421689773,-87.69597574147332,1.7840640512780308,0.07441325785927311,Hotspot 90%,0
-14706_6863,-14706,6863,23,41.908279202921875,-87.71153501860644,0.32738581392108607,0.7433760946706038,Not Significant,0
-14668_6828,-14668,6828,23,41.73254636233219,-87.55205242799208,0.647855026139614,0.5170787214144319,Not Significant,0
-14688_6838,-14688,6838,23,41.78280495333726,-87.66874700649038,3.706879324589198,0.00020982886263198886,Hotspot 99%,1
-14708_6856,-14708,6856,23,41.87317121837568,-87.75432303072246,3.5612115008535037,0.00036914757107564533,Hotspot 99%,2
-14680_6833,-14680,6833,23,41.757680577663535,-87.62595899437436,2.017132569255142,0.04368168060986499,Hotspot 95%,1
-14706_6862,-14706,6862,23,41.90326495794641,-87.71542483788971,3.6194786303477815,0.00029519718672421646,Hotspot 99%,2
-14683_6829,-14683,6829,23,41.7375739925239,-87.66485718720713,0.9683242383581417,0.3328824632629903,Not Significant,0
-14673_6817,-14673,6817,23,41.67721645787437,-87.6337386329409,2.395868910967948,0.01658101919340127,Hotspot 95%,3
-14682_6832,-14682,6832,23,41.75265452173847,-87.64540809079072,2.1336668282436975,0.03287006328604836,Hotspot 95%,1
-14673_6818,-14673,6818,23,41.68224841664468,-87.62984881365766,2.803738817427892,0.005051380677584483,Hotspot 99%,3
-14673_6821,-14673,6821,22,41.6973419321205,-87.6181793558078,2.308468216726531,0.02097310862748314,Hotspot 95%,3
-14710_6857,-14710,6857,22,41.87818782609015,-87.76599248857232,3.695647287318032,0.00021932728592943818,Hotspot 99%,2
-14689_6850,-14689,6850,22,41.84306330332091,-87.62984881365766,-0.3135526105159696,0.753860856839736,Not Significant,0
-14699_6858,-14699,6858,22,41.88320404003357,-87.67652664505695,-0.08048409253885845,0.9358522475039339,Not Significant,0
-14713_6862,-14713,6862,22,41.90326495794641,-87.76988230785561,2.250201087232253,0.024436183319969995,Hotspot 95%,2
-14672_6820,-14672,6820,22,41.69231115377578,-87.61428953652451,1.4053277095652252,0.15992385221837657,Not Significant,0
-14682_6827,-14682,6827,22,41.72751833859355,-87.66485718720713,0.20411939582149685,0.8382601977380466,Not Significant,0
-14697_6852,-14697,6852,22,41.85310084995869,-87.68430628362349,0.3856529434153639,0.6997537174751789,Not Significant,0
-14686_6836,-14686,6836,22,41.7727563838894,-87.66096736792385,3.211608723887837,0.001319940142170406,Hotspot 99%,1
-14702_6856,-14702,6856,22,41.87317121837568,-87.70764519932315,4.639153396497643,3.4983932322152356e-06,Hotspot 99%,2
-14686_6846,-14686,6846,22,41.822983485491555,-87.62206917509108,1.2887934505766696,0.197469903562268,Not Significant,0
-14679_6832,-14679,6832,22,41.75265452173847,-87.62206917509108,1.0848584973466975,0.2779843320687707,Not Significant,0
-14699_6849,-14699,6849,22,41.83804393942133,-87.71153501860644,0.2399851196796694,0.8103417923438037,Not Significant,0
-14677_6834,-14677,6834,22,41.762706240002274,-87.59873025939142,1.5509955333009198,0.12090275439147091,Not Significant,0
-14682_6839,-14682,6839,22,41.78782864762697,-87.6181793558078,3.3281429828763924,0.0008742698280401751,Hotspot 99%,1
-14679_6835,-14679,6835,22,41.767731508746834,-87.61039971724124,2.1628003929908366,0.030556535374006266,Hotspot 95%,1
-14683_6844,-14683,6844,21,41.8129412144225,-87.60650989795798,0.3856529434153639,0.6997537174751789,Not Significant,0
-14683_6841,-14683,6841,21,41.797874855299035,-87.6181793558078,2.3745286256706946,0.017571373667622625,Hotspot 95%,1
-14702_6858,-14702,6858,21,41.88320404003357,-87.69986556075662,2.570670299450781,0.010150190794128822,Hotspot 95%,2
-14716_6866,-14716,6866,21,41.92331957492203,-87.77766194642213,-0.7214225169759142,0.4706495969391722,Not Significant,0
