hex_id,time_bin,season,count
-14663_6811,Afternoon (12-17),Winter,0
-14663_6811,Afternoon (12-17),Spring,0
-14663_6811,Afternoon (12-17),Summer,0
-14663_6811,Afternoon (12-17),Fall,0
-14663_6811,Evening (18-23),Winter,0
-14663_6811,Evening (18-23),Spring,0
-14663_6811,Evening (18-23),Summer,0
-14663_6811,Evening (18-23),Fall,0
-14663_6816,Night (00-05),Winter,0
-14663_6816,Night (00-05),Spring,0
-14663_6816,Night (00-05),Summer,0
-14663_6816,Night (00-05),Fall,0
-14663_6816,Morning (06-11),Winter,0
-14663_6816,Morning (06-11),Spring,1
-14663_6816,Morning (06-11),Summer,0
-14663_6816,Morning (06-11),Fall,0
-14663_6816,Afternoon (12-17),Winter,0
-14663_6816,Afternoon (12-17),Spring,0
-14663_6816,Afternoon (12-17),Summer,0
-14663_6816,Afternoon (12-17),Fall,0
-14663_6816,Evening (18-23),Winter,0
-14663_6816,Evening (18-23),Spring,0
-14663_6816,Evening (18-23),Summer,0
-14663_6816,Evening (18-23),Fall,0
-14663_6820,Night (00-05),Winter,0
-14663_6820,Night (00-05),Spring,0
-14663_6820,Night (00-05),Summer,0
-14663_6820,Night (00-05),Fall,0
-14663_6820,Morning (06-11),Winter,0
-14663_6820,Morning (06-11),Spring,0
-14663_6820,Morning (06-11),Summer,0
-14663_6820,Morning (06-11),Fall,1
-14663_6820,Afternoon (12-17),Winter,0
-14663_6820,Afternoon (12-17),Spring,0
-14663_6820,Afternoon (12-17),Summer,0
-14663_6820,Afternoon (12-17),Fall,0
-14663_6820,Evening (18-23),Winter,0
-14663_6820,Evening (18-23),Spring,0
-14663_6820,Evening (18-23),Summer,0
-14663_6820,Evening (18-23),Fall,0
-14663_6821,Night (00-05),Winter,1
-14663_6821,Night (00-05),Spring,1
-14663_6821,Night (00-05),Summer,0
-14663_6821,Night (00-05),Fall,0
-14663_6821,Morning (06-11),Winter,1
-14663_6821,Morning (06-11),Spring,2
-14663_6821,Morning (06-11),Summer,0
-14663_6821,Morning (06-11),Fall,0
-14663_6821,Afternoon (12-17),Winter,0
-14663_6821,Afternoon (12-17),Spring,0
-14663_6821,Afternoon (12-17),Summer,0
-14663_6821,Afternoon (12-17),Fall,2
-14663_6821,Evening (18-23),Winter,0
-14663_6821,Evening (18-23),Spring,1
-14663_6821,Evening (18-23),Summer,0
-14663_6821,Evening (18-23),Fall,0
-14663_6822,Night (00-05),Winter,1
-14663_6822,Night (00-05),Spring,0
-14663_6822,Night (00-05),Summer,0
-14663_6822,Night (00-05),Fall,2
-14663_6822,Morning (06-11),Winter,0
-14663_6822,Morning (06-11),Spring,0
-14663_6822,Morning (06-11),Summer,0
-14663_6822,Morning (06-11),Fall,0
-14663_6822,Afternoon (12-17),Winter,2
-14663_6822,Afternoon (12-17),Spring,0
-14663_6822,Afternoon (12-17),Summer,0
-14663_6822,Afternoon (12-17),Fall,0
-14663_6822,Evening (18-23),Winter,0
-14663_6822,Evening (18-23),Spring,0
-14663_6822,Evening (18-23),Summer,1
-14663_6822,Evening (18-23),Fall,3
-14663_6823,Night (00-05),Winter,0
-14663_6823,Night (00-05),Spring,0
-14663_6823,Night (00-05),Summer,0
-14663_6823,Night (00-05),Fall,1
-14663_6823,Morning (06-11),Winter,0
-14663_6823,Morning (06-11),Spring,0
-14663_6823,Morning (06-11),Summer,0
-14663_6823,Morning (06-11),Fall,0
-14663_6823,Afternoon (12-17),Winter,0
-14663_6823,Afternoon (12-17),Spring,0
-14663_6823,Afternoon (12-17),Summer,3
-14663_6823,Afternoon (12-17),Fall,0
-14663_6823,Evening (18-23),Winter,0
-14663_6823,Evening (18-23),Spring,0
-14663_6823,Evening (18-23),Summer,0
-14663_6823,Evening (18-23),Fall,2
-14663_6824,Night (00-05),Winter,0
-14663_6824,Night (00-05),Spring,0
-14663_6824,Night (00-05),Summer,0
-14663_6824,Night (00-05),Fall,0
-14663_6824,Morning (06-11),Winter,0
-14663_6824,Morning (06-11),Spring,0
-14663_6824,Morning (06-11),Summer,0
-14663_6824,Morning (06-11),Fall,0
-14663_6824,Afternoon (12-17),Winter,0
-14663_6824,Afternoon (12-17),Spring,0
-14663_6824,Afternoon (12-17),Summer,0
-14663_6824,Afternoon (12-17),Fall,0
-14663_6824,Evening (18-23),Winter,0
-14663_6824,Evening (18-23),Spring,1
-14663_6824,Evening (18-23),Summer,1
-14663_6824,Evening (18-23),Fall,0
-14664_6812,Night (00-05),Winter,0
-14664_6812,Night (00-05),Spring,0
-14664_6812,Night (00-05),Summer,0
-14664_6812,Night (00-05),Fall,0
-14664_6812,Morning (06-11),Winter,0
