hex_id,hex_q,hex_r,count,centroid_lat,centroid_lon
-7336_3407,-7336,3407,22,41.66211822084092,-87.6376284522242
-7336_3414,-7336,3414,22,41.73254636233219,-87.5831709822583
-7353_3437,-7353,3437,21,41.96340990415634,-87.66874700649039
-7349_3427,-7349,3427,21,41.863136821663865,-87.6843062836235
-7350_3422,-7350,3422,21,41.8129412144225,-87.73876375358938
-7356_3440,-7356,3440,20,41.99346110759678,-87.69208592219006
-7346_3429,-7346,3429,20,41.88320404003357,-87.62206917509108
-7346_3426,-7346,3426,20,41.85310084995869,-87.64540809079074
-7351_3422,-7351,3422,20,41.8129412144225,-87.75432303072249
-7355_3428,-7355,3428,20,41.87317121837568,-87.7698823078556
-7356_3434,-7356,3434,20,41.93334452040916,-87.73876375358938
-7347_3423,-7347,3423,20,41.822983485491555,-87.6843062836235
-7345_3424,-7345,3424,20,41.83302418181147,-87.64540809079074
-7349_3428,-7349,3428,19,41.87317121837568,-87.67652664505697
-7353_3433,-7353,3433,19,41.92331957492203,-87.69986556075662
-7348_3420,-7348,3420,19,41.79285194828347,-87.72320447645627
-7348_3424,-7348,3424,19,41.83302418181147,-87.69208592219006
-7339_3411,-7339,3411,19,41.702372316973985,-87.65318772935727
-7357_3440,-7357,3440,19,41.99346110759678,-87.70764519932317
-7345_3416,-7345,3416,19,41.75265452173847,-87.70764519932317
-7335_3414,-7335,3414,18,41.73254636233219,-87.5676117051252
-7351_3435,-7351,3435,18,41.9433678904833,-87.65318772935727
-7353_3439,-7353,3439,18,41.983445615470494,-87.65318772935727
-7355_3435,-7355,3435,17,41.9433678904833,-87.71542483788973
-7349_3421,-7349,3421,17,41.80289736866588,-87.73098411502284
-7350_3430,-7350,3430,17,41.893235286577195,-87.67652664505697
-7332_3411,-7332,3411,17,41.702372316973985,-87.54427278942553
-7334_3413,-7334,3413,17,41.7224899213159,-87.55983206655866
-7345_3417,-7345,3417,17,41.762706240002274,-87.69986556075662
-7357_3438,-7357,3438,16,41.97342854763756,-87.72320447645627
-7349_3431,-7349,3431,16,41.90326495794641,-87.65318772935727
-7347_3429,-7347,3429,15,41.88320404003357,-87.6376284522242
-7352_3434,-7352,3434,15,41.93334452040916,-87.67652664505697
-7348_3419,-7348,3419,15,41.782804953337255,-87.73098411502284
-7356_3441,-7356,3441,15,42.00347502395832,-87.6843062836235
-7344_3424,-7344,3424,15,41.83302418181147,-87.62984881365765
-7347_3424,-7347,3424,15,41.83302418181147,-87.67652664505697
-7346_3425,-7346,3425,14,41.8430633033209,-87.65318772935727
-7355_3437,-7355,3437,14,41.96340990415634,-87.69986556075662
-7352_3433,-7352,3433,14,41.92331957492203,-87.6843062836235
-7348_3428,-7348,3428,13,41.87317121837568,-87.66096736792383
-7348_3425,-7348,3425,13,41.8430633033209,-87.6843062836235
-7346_3424,-7346,3424,13,41.83302418181147,-87.66096736792383
-7356_3435,-7356,3435,13,41.9433678904833,-87.73098411502284
-7355_3442,-7355,3442,13,42.01348736449719,-87.66096736792383
-7358_3436,-7358,3436,13,41.95338968508535,-87.75432303072249
-7348_3429,-7348,3429,13,41.88320404003357,-87.65318772935727
-7354_3435,-7354,3435,12,41.9433678904833,-87.69986556075662
-7350_3421,-7350,3421,12,41.80289736866588,-87.74654339215594
-7345_3427,-7345,3427,12,41.863136821663865,-87.62206917509108
-7349_3424,-7349,3424,12,41.83302418181147,-87.70764519932317
-7357_3437,-7357,3437,12,41.96340990415634,-87.73098411502284
-7358_3432,-7358,3432,12,41.91329305408127,-87.78544158498869
-7342_3414,-7342,3414,12,41.73254636233219,-87.67652664505697
-7358_3434,-7358,3434,12,41.93334452040916,-87.7698823078556
-7359_3434,-7359,3434,12,41.93334452040916,-87.78544158498869
-7358_3435,-7358,3435,11,41.9433678904833,-87.76210266928904
-7335_3407,-7335,3407,11,41.66211822084092,-87.62206917509108
-7357_3443,-7357,3443,11,42.02349812915566,-87.6843062836235
-7344_3416,-7344,3416,11,41.75265452173847,-87.69208592219006
-7344_3422,-7344,3422,11,41.8129412144225,-87.64540809079074
-7345_3415,-7345,3415,11,41.74260122916078,-87.71542483788973
-7336_3412,-7336,3412,10,41.71243190617529,-87.5987302593914
-7338_3408,-7338,3408,10,41.67218410564494,-87.66096736792383
-7353_3434,-7353,3434,10,41.93334452040916,-87.69208592219006
-7356_3436,-7356,3436,10,41.95338968508535,-87.72320447645627
-7357_3442,-7357,3442,10,42.01348736449719,-87.69208592219006
-7355_3440,-7355,3440,10,41.99346110759678,-87.67652664505697
-7348_3421,-7348,3421,10,41.80289736866588,-87.71542483788973
-7349_3422,-7349,3422,10,41.8129412144225,-87.72320447645627
-7343_3415,-7343,3415,9,41.74260122916078,-87.6843062836235
-7346_3430,-7346,3430,9,41.893235286577195,-87.61428953652454
-7346_3427,-7346,3427,9,41.863136821663865,-87.6376284522242
-7356_3439,-7356,3439,9,41.983445615470494,-87.69986556075662
-7346_3423,-7346,3423,9,41.822983485491555,-87.66874700649039
