hex_id,hex_q,hex_r,centroid_lon,centroid_lat,homicide_count,drug_count,infrastructure_total,drug_arrest_rate,drug_domestic_rate,drug_unique_blocks,drug_season_fall,drug_season_spring,drug_season_summer,drug_season_winter,drug_time_night,drug_time_morning,drug_time_afternoon,drug_time_evening,drug_location_alley,drug_location_apartment,drug_location_cta_platform,drug_location_gas_station,drug_location_park_property,drug_location_parking_lot_garage_non_resid,drug_location_residence,drug_location_sidewalk,drug_location_street,drug_location_vehicle_non_commercial,infra_alcohol,infra_arts_centre,infra_atm,infra_bar,infra_casino,infra_clinic,infra_community_centre,infra_courthouse,infra_e_cigarette,infra_fire_station,infra_fuel,infra_hospital,infra_laundry,infra_library,infra_monastery,infra_nightclub,infra_nursing_home,infra_park,infra_payment_terminal,infra_pharmacy,infra_place_of_worship,infra_playground,infra_police,infra_prison,infra_pub,infra_research_institute,infra_restaurant,infra_school,infra_social_facility,infra_stripclub,infra_supermarket,infra_tobacco,community_area_number,poverty_pct,per_capita_income,hardship_index,community_area_missing,is_hotspot
-14700_6860,-14700,6860,-87.67652664505695,41.893235286577195,4.0,3.0,11.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,24.0,14.7,43198,10.0,0,0
-14700_6861,-14700,6861,-87.67263682577368,41.89825031916236,2.0,7.0,8.0,0.8571428571428571,0.0,7.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.7,43198,10.0,0,0
-14700_6862,-14700,6862,-87.66874700649039,41.90326495794641,11.0,25.0,13.0,1.0,0.0,11.0,7.0,7.0,7.0,4.0,4.0,5.0,3.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,14.7,43198,10.0,0,0
-14700_6863,-14700,6863,-87.66485718720713,41.908279202921875,8.0,5.0,6.0,1.0,0.0,5.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,14.7,43198,10.0,0,0
-14700_6864,-14700,6864,-87.66096736792385,41.91329305408127,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,14.7,43198,10.0,0,0
-14700_6865,-14700,6865,-87.65707754864057,41.918306511417136,0.0,1.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,12.3,71551,2.0,0,0
-14700_6866,-14700,6866,-87.6531877293573,41.92331957492203,1.0,2.0,9.0,1.0,0.5,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,12.3,71551,2.0,0,0
-14700_6867,-14700,6867,-87.64929791007401,41.92833224458851,1.0,17.0,17.0,1.0,0.0,8.0,4.0,4.0,6.0,3.0,2.0,2.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,12.3,71551,2.0,0,0
-14700_6868,-14700,6868,-87.64540809079072,41.93334452040916,2.0,12.0,22.0,1.0,0.0,8.0,2.0,4.0,0.0,6.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,11.4,60058,5.0,0,0
-14700_6869,-14700,6869,-87.64151827150746,41.938356402376556,1.0,8.0,12.0,1.0,0.0,5.0,0.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,11.4,60058,5.0,0,0
