crime_variable,z_percentile_bin,n,rho_spearman,p_value
narcotics,Q5_high,295,0.866487524861049,2.1086894662523956e-90
obscenity,Q1_low,318,0.32341714657550774,3.5464746495392545e-09
obscenity,Q2,379,0.33276730419682365,2.985692167530744e-11
obscenity,Q3,224,0.18880394932797015,0.0045754588670100195
obscenity,Q4,308,0.3502880100989092,2.548457012416354e-10
obscenity,Q5_high,295,0.37074665557804865,4.813190118699409e-11
offense_involving_children,Q1_low,318,0.5247701026696153,6.68874481059574e-24
offense_involving_children,Q2,379,0.7458412906541906,1.660025988721202e-68
offense_involving_children,Q3,224,0.7139553290212073,3.2423585903826465e-36
offense_involving_children,Q4,308,0.8217921936408868,9.803883062519553e-77
offense_involving_children,Q5_high,295,0.7952301082204537,1.2470189807426248e-65
other_offense,Q1_low,318,0.6481471600967572,2.809489475470864e-39
other_offense,Q2,379,0.7421951112355535,1.6487715869562505e-67
other_offense,Q3,224,0.722178865850074,2.14043068225155e-37
other_offense,Q4,308,0.8771744012703779,1.6696466189370173e-99
other_offense,Q5_high,295,0.8584402318670759,5.98216329859426e-87
prostitution,Q1_low,318,0.5636216009622173,4.667395987720255e-28
prostitution,Q2,379,0.48005931900746684,3.043308388586963e-23
prostitution,Q3,224,0.5010632878470641,1.2193071914824712e-15
prostitution,Q4,308,0.6126066680685421,4.058419258609733e-33
prostitution,Q5_high,295,0.5554936564544248,2.7735575723674454e-25
public_indecency,Q1_low,318,0.28175536298413956,3.2472969341888243e-07
public_indecency,Q2,379,0.1850821717541268,0.0002916457370097772
public_indecency,Q3,224,0.12297647985566029,0.06617657681867858
public_indecency,Q4,308,0.14731587709649577,0.009625192397477007
public_indecency,Q5_high,295,0.13667082414068782,0.018851091928165194
public_peace_violation,Q1_low,318,0.5936674615608395,1.1425254780693519e-31
public_peace_violation,Q2,379,0.6921327934132769,2.44598457642322e-55
public_peace_violation,Q3,224,0.5839740637021533,7.122160926895051e-22
public_peace_violation,Q4,308,0.7456237729747794,6.941328855956635e-56
public_peace_violation,Q5_high,295,0.7627594319877637,2.0756759839589367e-57
robbery,Q1_low,318,0.6614443818808511,2.227524947638112e-41
robbery,Q2,379,0.780683606616965,5.594753555295721e-79
robbery,Q3,224,0.738736583210764,6.604825372367436e-40
robbery,Q4,308,0.8629416777878192,1.0215872155232256e-92
robbery,Q5_high,295,0.823975681096297,2.9323397058820406e-74
sex_offense,Q1_low,318,0.5869593577637805,7.885723633257676e-31
sex_offense,Q2,379,0.6653636669744956,8.42329688009568e-50
sex_offense,Q3,224,0.5805049536649747,1.4117345227319764e-21
sex_offense,Q4,308,0.7566031429775228,2.0896260971899636e-58
sex_offense,Q5_high,295,0.7227338765619359,6.283033639941618e-49
stalking,Q1_low,318,0.51296157397807,9.676572285382122e-23
stalking,Q2,379,0.5869227698468429,1.8595375074026615e-36
stalking,Q3,224,0.47605379250137647,4.5227358429419844e-14
stalking,Q4,308,0.6815190518488811,2.1270553899384886e-43
stalking,Q5_high,295,0.6182315403333637,1.709228293581689e-32
theft,Q1_low,318,0.5559618734097359,3.403629838151791e-27
theft,Q2,379,0.6991156129169073,6.967851228182537e-57
theft,Q3,224,0.5431350418963481,1.3744765945900253e-18
theft,Q4,308,0.7246569102960225,2.0586901114853983e-51
theft,Q5_high,295,0.7151939309102114,1.700861739141862e-47
weapons_violation,Q1_low,318,0.6524935718984419,5.937009985563091e-40
weapons_violation,Q2,379,0.7613397471494789,6.082120671892487e-73
weapons_violation,Q3,224,0.830340287671661,2.70658836636229e-58
weapons_violation,Q4,308,0.9122492334164457,1.2360203046098563e-120
weapons_violation,Q5_high,295,0.9198275937374072,4.38257180805158e-121
gambling,Q1_low,318,0.45398172642516726,1.4211869764738804e-17
gambling,Q2,379,0.5991690716598825,2.668033256037557e-38
gambling,Q3,224,0.6271734156665996,6.82912443619288e-26
gambling,Q4,308,0.8373628545315426,2.976166896053162e-82
gambling,Q5_high,295,0.7549575449896407,1.2532103304507822e-55
crim_sexual_assault,Q1_low,318,0.614750557776263,1.9441648613233833e-34
crim_sexual_assault,Q2,379,0.7270738597629163,1.5083473758387395e-63
crim_sexual_assault,Q3,224,0.7388348634771507,6.373702365816335e-40
crim_sexual_assault,Q4,308,0.8897591302493224,3.003942017430938e-106
crim_sexual_assault,Q5_high,295,0.8632658534191313,5.404174355347367e-89
