variable,z_percentile,n,rho_spearman,p_value
assault,85,15,0.7385590815369426,0.0016621588191159792
assault,86,15,0.7748956836009091,0.0006915377333503416
assault,87,15,0.6445860311683207,0.009482764089635817
assault,88,16,0.9048032080601306,1.4724461430396446e-06
assault,89,15,0.9335862522316046,3.7011033908702695e-07
assault,90,15,0.8966933860995969,5.969960896813755e-06
assault,91,15,0.8364614600125809,0.00010159077997986132
assault,92,16,0.9147820806977712,6.96951431526317e-07
assault,93,15,0.7931989216876836,0.0004179414140729923
assault,94,15,0.7392857142857142,0.0016355111435407642
assault,95,15,0.8719816588304784,2.2625780435246133e-05
assault,96,16,0.8388523242299958,4.886536536754665e-05
assault,97,15,0.8892857142857141,9.192974758842252e-06
assault,98,15,0.5134176372612224,0.05029298016174521
assault,99,15,0.7406094140283833,0.0015878516763121909
assault,100,15,0.9464876412413044,9.381778199536901e-08
battery,1,16,0.7193571367358533,0.0016832610580210484
battery,2,15,-0.003992978531249624,0.9887318562080911
battery,3,15,0.6717511927560509,0.006094133769363216
battery,4,15,0.41978780891216716,0.1192863745518046
battery,5,16,0.7152861194238459,0.0018395379655088001
battery,6,15,0.6795535420134979,0.0053240990238639955
battery,7,15,0.7616336728692814,0.0009689756115408383
battery,8,15,0.394757938808626,0.14534352075148807
battery,9,16,0.4541820449151129,0.07718498662450746
battery,10,15,0.06978631577988531,0.8048048844037382
battery,11,15,0.8254154202518359,0.00015104706440344356
battery,12,15,0.7414829272531784,0.001557018349726303
battery,13,16,0.7682114296448642,0.0005089888546750205
battery,14,15,0.6926893922273593,0.0042032211972786535
battery,15,15,0.3738742304215812,0.16981693730435865
battery,16,15,0.5511749604521204,0.0332005054911563
battery,17,16,0.5459847674335515,0.028675851603533434
battery,18,15,0.8582344294293525,4.2414490990710157e-05
battery,19,15,0.805867798964362,0.00028634644641093045
battery,20,15,0.6770413206894597,0.0055631114810609904
battery,21,16,0.34722559073278064,0.18760808170827742
battery,22,15,0.6033093811506544,0.017261434494308975
battery,23,15,0.05208817806924757,0.8537319202496956
battery,24,15,0.1350710011532618,0.6312601957689769
battery,25,15,0.5477257475676165,0.034549032535991245
battery,26,16,0.6272299155387749,0.009302529914585139
battery,27,15,0.6980667780255272,0.0038024703432730836
battery,28,15,0.7223246795936947,0.002354787337154819
battery,29,15,0.7178492857329108,0.002581578230286874
battery,30,16,0.9243689716629173,3.102269571013812e-07
battery,31,15,0.7931859944169025,0.0004180972393712505
battery,32,15,0.6381723297967091,0.010464274055962326
battery,33,15,0.14169015512828434,0.6144652146114784
battery,34,16,0.5381300318077675,0.031532892264384584
battery,35,15,0.7913824844001188,0.00044030634950404355
battery,36,15,0.6306562238868914,0.011713349892440312
battery,37,15,0.7404286188165047,0.0015942943904455607
battery,38,16,0.8369060668353899,5.285977132954893e-05
battery,39,15,0.5776559881780557,0.024122420774322258
battery,40,15,0.8714683379650865,2.3192118045460408e-05
battery,41,15,0.6873863542433761,0.00463058471129696
battery,42,16,0.41913230311497246,0.1061012394246623
battery,43,15,0.4272724287794168,0.11216540643147802
battery,44,15,,
battery,45,15,,
battery,46,16,-0.24597601850723635,0.3584549333725713
battery,47,15,-0.12371791482634836,0.6604565674873454
battery,48,15,,
battery,49,15,,
battery,50,15,0.6967269868374687,0.0038993478246673453
battery,51,16,0.02808611129647647,0.9177639788305141
battery,52,15,0.8039420222071555,0.00030380709265084567
battery,53,15,0.6872159990924879,0.004644863032799973
battery,54,15,0.8571598099589334,4.442766355462572e-05
battery,55,16,0.8463533884773035,3.574523911247107e-05
battery,56,15,0.8218445549510814,0.00017072463768556378
battery,57,15,0.715564651235153,0.002703907206536824
battery,58,15,0.7140027826233409,0.0027901715071490954
battery,59,16,0.6664344018349376,0.004815979068153464
battery,60,15,0.7877757184641804,0.00048761062224515826
battery,61,15,0.780670560138061,0.0005929251029574874
battery,62,15,0.3590716354736941,0.18871599101782788
battery,63,16,0.6118686386017035,0.01177011888031028
battery,64,15,0.8085880558957229,0.0002630891773898259
battery,65,15,0.827218739999345,0.00014184232623746414
battery,66,15,0.8118331716947306,0.00023739097393033577
battery,67,16,0.834195111503272,5.887548001475977e-05
battery,68,15,0.9419127979201499,1.5812991011493376e-07
battery,69,15,0.867622139622623,2.7821275893240864e-05
battery,70,15,0.8908779907877655,8.400121914687346e-06
battery,71,16,0.833954017216923,5.943707462037497e-05
battery,72,15,0.9316787870928697,4.4282989763430036e-07
battery,73,15,0.8980336373001171,5.502431845633792e-06
battery,74,15,0.5220200114630722,0.045928459067178955
battery,75,15,0.8635613375721126,3.3514429391112454e-05
battery,76,16,0.49076783949632563,0.0535794450856254
battery,77,15,0.8550997582260078,4.8508103515265394e-05
battery,78,15,0.9051892838124684,3.490315123053128e-06
battery,79,15,0.778176558218229,0.0006340038514209408
battery,80,16,0.877671572134686,7.907444909175628e-06
battery,81,15,0.8880963096096863,9.825012485636121e-06
battery,82,15,0.8284081182202688,0.00013602764389273296
battery,83,15,0.7202862572330558,0.002456015779867273
battery,84,16,0.9431798531002015,4.40886052995333e-08
battery,85,15,0.763716811808274,0.0009202626492378422
battery,86,15,0.8322953638676431,0.00011837313099889302
battery,87,15,0.7144161845448889,0.002767127629619313
battery,88,16,0.9180874313432321,5.331367622049203e-07
battery,89,15,0.9425630431184472,1.4720553006115492e-07
battery,90,15,0.9182571549035954,1.3747728577853548e-06
battery,91,15,0.916890446552252,1.5260766625460088e-06
battery,92,16,0.9044036778373427,1.5145999701544003e-06
battery,93,15,0.7609696201292675,0.0009849355222986097
battery,94,15,0.7857142857142856,0.0005164547475705882
battery,95,15,0.9042109603888943,3.722132688219991e-06
battery,96,16,0.9168508736759429,5.90106915566279e-07
battery,97,15,0.8999999999999999,4.871970948735606e-06
battery,98,15,0.6583194791363408,0.007623170581852791
battery,99,15,0.7853322047305804,0.0005219504866812538
battery,100,15,0.942847304159607,1.4263287591144687e-07
burglary,1,16,0.5096061851619494,0.043756181345914205
burglary,2,15,-0.2675295615937248,0.33505775366928503
burglary,3,15,-0.3624161748384144,0.18433182176614146
