variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
infra_police,0.02690827555458715,0.037699294813414524,-0.044737786542285184,0.14087763827822128,0.16324358487464857,0.02810460220990418,0.17489490047894513,0.2847079889499095,0.4074239442947572,-0.09662186056798669
infra_prison,0.006176833769480562,0.03812653734376974,-0.038548973294364144,0.22691865219559773,-0.12750379308058632,-0.2320275702769219,0.11327310052871474,0.1738794114658182,-0.014580757308296721,-0.18375009814476653
infra_pub,0.03684976810654542,0.21079424775688235,-0.00757112895016844,-0.0017423111350418213,-0.10464850423469449,0.05838317169718271,-0.1746762512225928,-0.09741968195650186,0.01956746684332327,0.1591967709084542
infra_research_institute,-0.003153044810376368,0.0041297615743591445,-0.007952355180114319,0.0016394207794496983,0.05747293990188919,0.00953368705515645,0.004939033490953887,0.031243353525397484,-0.10058951758789714,-0.010099817383457922
infra_restaurant,0.027629629002346206,0.10562252435116638,0.5611873597602286,-0.13610760196736757,-0.02074037588006434,-0.07930398293163418,0.13107267521742896,0.12906557791107487,-0.12007190096977045,-0.09539321544177609
infra_school,0.07531760768063121,-0.02208234884492098,-0.11780061648760942,-0.14770886160523267,-0.03869685833815373,0.05772481169478584,0.2763731972571705,0.08547344658878056,-0.18196104875016367,0.11839701509743698
infra_social_facility,0.05153549642370149,0.02013185835949741,-0.054272428063197285,-0.11078943190538348,0.21702301848117578,-0.09955076180823604,0.02449418315952263,0.21315321009396457,-0.24036034798037512,0.0007099909989181257
infra_stripclub,-0.0014727346469202765,0.027074399956249894,0.005223489128580853,0.008426801850704534,0.08251568259793626,0.014979728955744563,0.002783103720247355,0.09312217963458717,0.3269963277058447,0.022081063700575318
infra_supermarket,0.04979644832006469,0.11393086286274115,-0.012528438104675734,-0.15759808880937504,-0.03601233930481435,-0.07562281803943952,-0.02649341197506156,0.15464095148493892,0.05351379914818714,-0.13813742232754428
infra_tobacco,0.02629723662574558,0.11063430878033842,-0.1339421586762238,-0.12615666669745254,-0.1627285186513308,0.005309095250909307,-0.16530330846530783,0.10312569939605866,-0.012679639675105454,0.14153622374755462
per_capita_income,-0.01671242818060627,0.31413968917654495,-0.08479826852255243,-0.11522274878794235,0.12701632297426008,0.0661302819645454,0.1768363583703433,-0.2247926120719776,0.06463622061926198,-0.14173468268911957
poverty_pct,0.09595291336830153,-0.21355081035472942,0.08007279649352643,0.11479390885225771,0.027875138418775397,-0.17624109707714275,-0.11882275817206575,0.21999111134498006,-0.10520069925759373,0.34051793020498944
hardship_index,0.055676475248837315,-0.2879023896457799,0.1265652838090562,0.13968476103260669,-0.09643229000178774,-0.1410324421972929,-0.18563470107973468,0.23056988115085522,-0.07410322251567994,0.2775220864423876
