variable,z_percentile,n,rho_spearman,p_value
concealed_carry_license_violation,71,23,0.38236737281723343,0.0717592879037819
concealed_carry_license_violation,73,18,0.31829252921898754,0.19800864767286533
concealed_carry_license_violation,75,57,0.2527008831750692,0.0578954643089707
concealed_carry_license_violation,78,28,0.2439247556081109,0.2109783277429509
concealed_carry_license_violation,80,34,0.3521897537228259,0.041076219363347
concealed_carry_license_violation,82,18,0.3780429932352321,0.12190773306002987
concealed_carry_license_violation,83,19,-0.03156740924386575,0.897920328301944
concealed_carry_license_violation,84,6,-0.5879685967014486,0.21967955556452928
concealed_carry_license_violation,85,24,0.1719076387460722,0.42184763372377565
concealed_carry_license_violation,86,9,0.27151823034599865,0.4797319834846646
concealed_carry_license_violation,87,17,0.04656171492788421,0.8591540901788433
concealed_carry_license_violation,88,24,0.38766764457118996,0.061241258246962325
concealed_carry_license_violation,90,27,0.511079472951306,0.006442170907209494
concealed_carry_license_violation,91,13,0.4243309831990113,0.14841688554266236
concealed_carry_license_violation,92,12,0.21367590981826193,0.5048813789958285
concealed_carry_license_violation,93,21,0.06596911446244484,0.7763287628206286
concealed_carry_license_violation,94,24,0.702945981867256,0.00012772686886818887
concealed_carry_license_violation,96,11,0.6451078048067753,0.032085391333944675
concealed_carry_license_violation,97,27,0.5526414758390374,0.002795905626655356
concealed_carry_license_violation,98,24,0.6343768707042855,0.0008706949466077457
concealed_carry_license_violation,99,5,-0.21629522817435007,0.7267670232362579
concealed_carry_license_violation,100,14,0.3874584745219908,0.171074201056792
criminal_damage,1,17,0.7183320738269662,0.001161737395596076
criminal_damage,2,7,0.14433756729740646,0.7575093876521792
criminal_damage,3,23,0.05225115989450187,0.812831566078557
criminal_damage,4,14,0.35494390769963163,0.2130208653415067
criminal_damage,5,25,0.5810210135808809,0.0023214262186014513
criminal_damage,7,16,0.3950104404719467,0.12996433413996009
criminal_damage,8,14,0.764996829391167,0.0014340921704544868
criminal_damage,9,26,0.030060846379465662,0.8840990974515213
criminal_damage,10,12,0.8349201859742719,0.0007266638674192931
criminal_damage,11,21,0.4010474022399408,0.07157672643180245
criminal_damage,13,32,0.5670913107780898,0.0007133592492836537
criminal_damage,15,15,0.29012276066727943,0.2942067851351406
criminal_damage,16,26,0.7778402055475582,2.915972605022951e-06
criminal_damage,18,28,0.35380092724100043,0.06474148534028291
criminal_damage,20,42,0.6098876117764859,1.8055597829277198e-05
criminal_damage,22,16,0.6125637086121525,0.011648398708599588
criminal_damage,23,27,0.21495661540554206,0.28159446589568415
criminal_damage,25,14,0.6838949390895416,0.00699286065679476
